"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"12980","Battle Creek, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",141701,141880,139886,137629,135682,134523,134316,134849,134459,135457,136226,136814,137298,137775,137910,137393,136630,136834,137783,138021
"12980","Battle Creek, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9456,10235,10843,11291,12076,13067,13776,14681,15365,16345,17056,17821,18871,19435,20592,21379,22245,23718,24354,24763
"13020","Bay City, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1133350,1220646,1263933,1328915,1423673,1499357,1564800,1621964,1719331,1800018,1911834,1975535,2096904,2183299,2305243,2388194,2481873,2598926,2669199,2780814
"13020","Bay City, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295
"13020","Bay City, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9442,10138,10639,11326,12202,13036,13694,14233,15229,16063,17100,17670,18692,19425,20578,21384,22313,23405,24111,25213
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3804414,4351761,4608441,4786974,4958816,5037053,4977167,4951714,5230939,5548188,5847435,6315312,6782115,6782988,7058971,7365188,7560135,8200582,8689169,8653651
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",374797,380033,385895,387177,385029,380408,367831,365565,361654,360338,361510,366555,371174,375979,377590,380888,380417,381675,382827,385034
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",10151,11451,11942,12364,12879,13241,13531,13545,14464,15397,16175,17229,18272,18041,18695,19337,19873,21486,22697,22475
"13220","Beckley, WV (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1093976,1191482,1276557,1281513,1375395,1419473,1440289,1461495,1512726,1579755,1664276,1766203,1881320,1958201,2069106,2183086,2290661,2377498,2497818,2537843
"13220","Beckley, WV (Metropolitan Statistical Area)","2","Population (persons) 1/",144639,144324,144345,144081,142180,140228,137822,133725,129757,125854,124685,124959,125222,126345,126577,127571,128425,128275,127892,127431
"13220","Beckley, WV (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",7563,8256,8844,8894,9674,10123,10450,10929,11658,12552,13348,14134,15024,15499,16347,17113,17837,18534,19531,19915
